"licensee_name","doing_business_as","license_number","license_type","expiration","street_address","city","state","zip"
"CST METRO LLC","CIRCLE K #2744109","21-79919-0045","Fermented Malt Beverage Off (city)","2019-05-18","101 DENVER AVE","Fort Lupton","CO",80621
"RIVER GARDEN WINERY LLC","RIVER GARDEN WINERY","03-07617","Vintner's Restaurant (county)","2020-03-21","9490 COUNTY ROAD 25","Fort Lupton","CO",80621
"CANAS ENTERPRISES INC","PATRICIA'S MEXICAN RESTAURANT","40-42808-0000","Tavern (city)","2019-09-04","217 FIRST ST","Fort Lupton","CO",806212000
"AMER LEGION POST","FORT LUPTON POST 102","14-06664-0001","Club License (city)","2019-12-31","942 DENVER AVENUE","Fort Lupton","CO",806212633
"SILVERMOON, LLC","SILVERMOON BAR AND CAFE","03-10369","Tavern (city)","2019-09-16","334 MAIN STREET","Fort Lupton","CO",80621
"COLUMBIA REALTY, INC.","CORK & CAP LIQUOR","03-06701","Liquor Store (city)","2019-06-27","115 1ST STREET","Fort Lupton","CO",80621
"STATION THREE LOUNGE","STATION THREE LOUNGE","03-10667","Tavern (city)","2020-01-02","327 DENVER AVENUE","Fort Lupton","CO",80621
"SAFEWAY STORE FORTY SIX INC","SAFEWAY STORE #1045","21-70664-0072","Fermented Malt Beverage Off (city)","2019-05-02","1300 DEXTER ST","Fort Lupton","CO",80621
"THE DEVIL YOU KNOW BREWING COMPANY LLC","GORILLA ALCHEMY","03-09710","Wholesale Beer (malt liquor)","2019-07-01","815 7TH STREET","Fort Lupton","CO",80621
"LADO INVESTMENTS, INC.","JACK'S BEER & SPIRITS","03-06485","Liquor Store (city)","2019-06-29","417 DENVER AVENUE","Fort Lupton","CO",80621
"CITY OF FORT LUPTON","COYOTE CREEK GOLF COURSE","03-04301","Hotel & Restaurant / Optional (city)","2019-05-18","222 CLUBHOUSE DRIVE","Fort Lupton","CO",80621
"NUVVO LLC","WHIPSAW WINE & SPIRITS","03-08808","Liquor Store (city)","2019-12-12","1400 DEXTER STREET","Fort Lupton","CO",806211503
"THE DEVIL YOU KNOW BREWING, LLC","GORILLA ALCHEMY","03-09711","Manufacturer (brewery)","2019-07-01","815 7TH STREET","Fort Lupton","CO",80621
"SBM TRAVEL STOP COLORADO LLC","TJ'S EXPRESS","04-00918","Fermented Malt Beverage Off (city)","2019-11-26","804 DENVER AVENUE","Fort Lupton","CO",80621
"YI-LEET ENTERPRISES INC","FORT SUDS LIQUOR","03-07915","Liquor Store (city)","2019-07-19","640 14TH STREET","Fort Lupton","CO",80621
"TAILPIPES & TBONES LLC","ROUTE 34 DINER","03-07578","Hotel & Restaurant (city)","2019-02-26","129 WEST PLATTE AVENUE","Fort Morgan","CO",80701
"CERNA GRACIELA","HOME PLATE RESTAURANT 1","03-63413-0003","Hotel & Restaurant (county)","2019-10-17","19719 HWY 34","Fort Morgan","CO",80701
"K&M LLC","RAILROAD DISCOUNT LIQUORS","43-03185-0000","Liquor Store (city)","2019-06-24","420 E RAILROAD AVE","Fort Morgan","CO",80701
"PESTER MARKETING COMPANY","ALTA #6145","04-00872","Fermented Malt Beverage Off (city)","2019-08-22","825 MAIN STREET","Fort Morgan","CO",80701
"BPOE LODGE","FORT MORGAN LODGE NO 1143","02-01574-0001","Club License (city)","2019-12-31","430 STATE ST","FORT MORGAN","CO",807012120
"EDWARDS RIGHT PRICE MARKET INC","EDWARDS RIGHT PRICE MARKET INC","02-15959-0000","Fermented Malt Beverage Off (city)","2019-08-27","1201 EAST PLATTE AVE","Fort Morgan","CO",80701
"MAVERIK, INC #480","MAVERIK, INC #480","04-00096","Fermented Malt Beverage Off (city)","2019-05-29","1206 MAIN ST","Fort Morgan","CO",80701
"REATA LIQUORS INC","REATA LIQUORS","42-79888-0000","Liquor Store (city)","2019-05-17","1305 N BARLOW RD","Fort Morgan","CO",80701
"CITY OF FORT MORGAN, A MUNICIPAL CORPORATION","QUAIL DUNES GOLF COURSE","03-06300","Hotel & Restaurant / Optional (county)","2019-04-21","17586 COUNTY ROAD T5/10","Fort Morgan","CO",80701
"CABLES CAFE INC","CABLES PUB & GRILL","15-09816-0000","Hotel & Restaurant (city)","2019-11-12","431 MAIN ST","Fort Morgan","CO",807012132
"CSO LLC","COUNTRY STEAK OUT","12-87364-0000","Hotel & Restaurant (county)","2019-08-16","19592 E 8TH AVE","Fort Morgan","CO",80701
"FRANCINE M. VARELA","THE NOTE","03-06841","Tavern (city)","2019-09-15","207 MAIN STREET","Fort Morgan","CO",80701
"MORGAN LANES LLC","MORGAN LANES","03-03043","Tavern (city)","2019-06-01","300 E RAILROAD","Fort Morgan","CO",80701
"ACAPULCO BAY CORP","ACAPULCO BAY","41-80788-0000","Hotel & Restaurant (city)","2019-09-15","204 MAIN STREET","Fort Morgan","CO",807012107
"RUSSELL D CROFT, VICTORIA V VISSER","THE FLAME STEAKHOUSE","03-09277","Hotel & Restaurant (county)","2020-01-28","14424 US HIGHWAY 34","Fort Morgan","CO",80701
"EL JACAL CORP","EL JACAL MEXICAN GRILL","42-47509-0000","Hotel & Restaurant (city)","2019-10-01","105 8TH AVENUE","Fort Morgan","CO",80701
"THE CLUB TAP LLC","THE CLUB TAP LLC","12-67788-0000","Tavern (city)","2019-10-03","212 MAIN ST","Fort Morgan","CO",807012112
"K STORES, INC & 7-ELEVEN INC","7-ELEVEN STORE 15203A","04-00086","Fermented Malt Beverage Off (city)","2020-04-08","703 E PLATTE AVE","Fort Morgan","CO",80701
"V F W","FORT MORGAN POST 2551","02-03283-0001","Club License (city)","2019-12-31","208 W BEAVER AVE","Fort Morgan","CO",807012302
"KINSALE PROPERTIES INC","RODEWAY INN","03-64969-0000","Hotel & Restaurant (city)","2019-11-01","1409 BARLOW ROAD","Fort Morgan","CO",807014357
"EBY STEPHEN E EBY BETTY J","EAST PLATTE AVENUE LIQUORS","02-23202-0000","Liquor Store (county)","2019-05-09","19309 E PLATTE AVE","Fort Morgan","CO",80701
"RV SONS LLC","MIDWEST LIQUORS","03-10064","Liquor Store (city)","2019-06-17","105 SOUTH MAIN STREET","Fort Morgan","CO",80701
"MIDCAP LLC","NORTH MAIN LIQUOR","24-88525-0000","Liquor Store (city)","2020-02-03","716 MAIN ST","Fort Morgan","CO",80701
"HAROLD DEHAAN POST19 AMER LEGION INC","HAROLD DEHAAN POST19 AMER LEGION INC","28-19231-0000","Tavern (city)","2019-09-17","121 NELSON ROAD","Fort Morgan","CO",80701
"EL ROBLE INC","CASA PATRON","03-00526","Hotel & Restaurant (city)","2019-11-14","1215 WEST PLATTE AVENUE","Fort Morgan","CO",80701
"K STORES 2 INC & 7-ELEVEN INC","7-ELEVEN STORE 15431A","04-00101","Fermented Malt Beverage Off (city)","2020-04-10","603 W PLATTE AVE","Fort Morgan","CO",80701
"10G INC","WAYWARD WIND LIQUOR","03-01842","Liquor Store (county)","2019-11-03","14424 HIGHWAY 34","Fort Morgan","CO",80701
"WONDERFUL HOUSE FT MORGAN INC","WONDERFUL HOUSE RESTAURANT","41-58436-0000","Beer & Wine (city)","2019-10-18","629 MAIN ST","Fort Morgan","CO",807012025
"WALMART INC.","WALMART STORE #5033","09-49518-0067","Fermented Malt Beverage Off (city)","2019-11-24","1300 NORTH BARLOW ROAD","Fort Morgan","CO",80701
"GARLIS DANETTE L","ELAINE'S PLACE","40-23994-0000","Hotel & Restaurant (county)","2019-06-29","17590 CO RD T5","Fort Morgan","CO",807019429
"SAFEWAY STORE FORTY SIX INC","SAFEWAY STORE #2341","21-70664-0002","Fermented Malt Beverage Off (city)","2019-12-16","620 WEST PLATTE AVENUE  #234","Fort Morgan","CO",80701
"GRANTHAM BEVERAGE INC.","QUEEN LOUNGE","03-02575","Tavern (city)","2019-04-14","112 W KIOWA AVE","Fort Morgan","CO",80701
"JASSAR CORPORATION INC.","SHERMAN FOOD & GAS","04-00788","Fermented Malt Beverage Off (city)","2019-07-29","207 SOUTH SHERMAN STREET","Fort Morgan","CO",80701
"CLAVIS CLUB OFMORGAN COUNTY INC","CLAVIS CLUB OF MORGAN COUNTY INC","02-13964-0000","Tavern (county)","2019-12-26","18221 CO ROAD 17.6","Fort Morgan","CO",807014830
"DA ZHONG WAH INC","LITTLE BAMBOO","03-08677","Hotel & Restaurant (city)","2020-01-22","613 WEST PLATTE AVENUE","Fort Morgan","CO",80701
"AMER LEGION POST 38","SECURITY POST","08-16571-0000","Club License (city)","2019-12-31","6685 SOUTHMOOR DR RT 1","Fountain","CO",80817
"PATS LOCAL TAVERN LLC","PATS LOCAL TAVERN","03-09016","Tavern (city)","2019-12-04","412 ROYALTY PLACE","Fountain","CO",80817
"WALMART INC.","WALMART #1273","09-49518-0024","Fermented Malt Beverage Off (city)","2019-06-08","6310S HWY 85 & 87","FOUNTAIN","CO",80817
"WALMART INC.","WAL-MART SUPERCENTER #3018","04-00347","Fermented Malt Beverage Off (city)","2019-06-08","4425 VENETUCCI BLVD","Fountain","CO",80906
"WALMART INC.","WALMART #3018 FUEL","04-00348","Fermented Malt Beverage Off (city)","2019-06-08","4375 VENETUCCI BOULDEVARD","FOUNTAIN","CO",80906
"PIKES PEAK INTERNATIONAL RACEWAY LLC","PPIR","03-08546","Optional Premises (city)","2019-09-26","16650 MIDWAY RANCH ROAD","Fountain","CO",80817
"MINI MART INC","LOAF N JUG #601","03-27943-0105","Fermented Malt Beverage Off (city)","2020-03-01","7055 ALLEGRE CIR","Fountain","CO",80817
"LOVE'S TRAVEL STOPS & COUNTRY STORES INC","LOVE'S COUNTRY STORE #357","09-30081-0014","Fermented Malt Beverage Off (city)","2019-08-12","5505 TRAVEL PLAZA DR","FOUNTAIN","CO",80817
"YASIR KHAN","FOUNTAIN DISCOUNT LIQUOR","03-06446","Liquor Store (city)","2019-06-09","7070 SOUTH US HIGHWAY 85-87","Fountain","CO",80817
"RAMONA BURNS","KOREAN GARDEN","03-07626","Hotel & Restaurant (city)","2020-02-28","8025 FOUNTAIN MESA ROAD","Fountain","CO",80817
"ROOKIES BAR & GRILL LLC","ROOKIES BAR & GRILL","03-07897","Hotel & Restaurant (city)","2020-01-13","8017 FOUNTAIN MESA ROAD","Fountain","CO",80817
"KING'S CHEF DINER #3 LLC","KING'S CHEF #3","03-10556","Hotel & Restaurant (city)","2019-09-18","6436 US HIGHWAY 85/87 SUITE M","Fountain","CO",80817
"APPLE COLORADO LLC","APPLEBEES NEIGHBORHOOD GRILL & BAR","03-00568","Hotel & Restaurant (city)","2019-12-06","6428 S HWY 85/87","Fountain","CO",80817
"YOUNG & JULIE INC","TOM'S LIQUOR","41-25374-0000","Liquor Store (city)","2020-01-22","401 ROYALTY PL","Fountain","CO",808172025
"SAFEWAY STORE FORTY SIX INC","SAFEWAY FUEL #1975","21-70664-0075","Fermented Malt Beverage Off (city)","2019-03-01","6949 MESA RIDGE PKWY","Fountain","CO",808171543
"V F W POST 6461","V F W POST 6461","08-23849-0000","Tavern (city)","2019-06-25","753 S SANTA FE","FOUNTAIN","CO",808172031
"SAM'S WEST INC","SAM'S CLUB #8272","04-01092","Fermented Malt Beverage Off (city)","2020-01-29","4385 VENETUCCI BOULEVARD","Fountain","CO",80817
"RED MAPLE INC","HIGH SPIRITS LIQUOR","03-04959","Liquor Store (city)","2019-10-19","301 SOUTH SANTE FE AVENUE","Fountain","CO",80817
"CKIII INC","KINGS LIQUOR","03-08445","Liquor Store (city)","2019-08-20","965 LAKE AVENUE","Fountain","CO",80817
"DRAGON KING LLC","DRAGON KING RESTAURANT","42-18980-0000","Beer & Wine (city)","2019-06-01","6867 MESA RIDGE PKY","Fountain","CO",808171544
"WOLF'S DEN INC THE","WOLF'S DEN THE","40-53691-0000","Tavern (city)","2019-12-19","6318 S HWY 85/87","FOUNTAIN","CO",808171305
"COLORADO SPRINGS SOUTH LLC","COLORADO SPRINGS SOUTH","15-70596-0000","Fermented Malt Beverage On/Off (city)","2019-07-15","8100 BANDLEY DR","Fountain","CO",808172602
"CST METRO LLC","DIAMOND SHAMROCK CORNER STORE #622","21-79919-0161","Fermented Malt Beverage Off (city)","2019-05-17","6480 SOUTH HWY 85-87","FOUNTAIN","CO",80817
"KUM & GO LC","KUM & GO #670","04-00042","Fermented Malt Beverage Off (city)","2019-11-14","8050 FOUNTAIN MESA ROAD","Fountain","CO",80817
"JUMAR VENTURES LLC","SNACK SHACK 2","04-00602","Fermented Malt Beverage Off (city)","2020-01-13","8005 FOUNTAIN MESA ROAD","Fountain","CO",80817
"BOTR III, LLC","BLACK BEAR DINER","03-09411","Beer & Wine (city)","2020-02-25","6715 MESA RIDGE PARKWAY","Fountain","CO",80817
"SPEC OPS LIQUOR LLC","CARSON'S WINE & LIQUOR","03-00078","Liquor Store (city)","2019-08-06","6877 MESA RIDGE PARKWAY","Fountain","CO",80817
"AN NAM RESTAURANT INC","SZECHUAN PANDA RESTAURANT","15-54883-0000","Hotel & Restaurant (city)","2019-08-10","6928 MESA RIDGE PKWY","Fountain","CO",808171533
"FOUNTAIN CORNER POCKET LLC","FOUNTAIN CORNER POCKET","03-09480","Tavern (city)","2019-04-18","6502 SOUTH HIGHWAY 85-87","Fountain","CO",80817
"SAFEWAY STORE FORTY SIX INC","SAFEWAY STORES #1975","21-70664-0067","Fermented Malt Beverage Off (city)","2019-11-13","6949 MESA RIDGE PARKWAY","Fountain","CO",808171543
"CHARDI KALA INC AND 7-ELEVEN INC","7-ELEVEN STORE 22706A","42-67683-0000","Fermented Malt Beverage Off (city)","2019-06-14","601 SOUTH SANTA FE AVENUE","Fountain","CO",80817
"BECKETT EVENT CENTER LLP","BECKETT EVENT CENTER","03-04601","Tavern (city)","2019-06-03","6436 S US HWY 85 SUITE P&R","Fountain","CO",80817
"TFET ENTERPRISES S CORP","MOUNTAIN POST LIQUORS","03-02439","Liquor Store (city)","2020-02-02","6336 S US HWY 85/87","Fountain","CO",80817
"MINI MART INC","LOAF N JUG #80","03-27943-0098","Fermented Malt Beverage Off (city)","2020-03-01","102 S SANTA FE","Fountain","CO",80817
"CMON INN LLC","C'MON INN","42-77561-0000","Tavern (city)","2020-03-16","711 DALE ST","Fountain","CO",808171736
"COAL MINE DRAGON INC","COAL MINE DRAGON","23-35653-0000","Hotel & Restaurant (city)","2019-07-27","6320 US HWY 85-87","Fountain","CO",80817
"PHAT WILLYS LLC","PHAT WILLYS","15-66216-0000","Hotel & Restaurant (city)","2019-04-24","510 WEST HWY 50","Fowler","CO",81039
"FOWLER COUNTRY CLUB INC","COTTONWOOD LINKS GOLF COURSE","13-27370-0000","Optional Premises (city)","2019-06-15","1 COTTONWOOD LANE","Fowler","CO",81039
"FOWLER WINE COMPANY","FOWLER WINE COMPANY","03-09846","Vintner's Restaurant (city)","2019-05-29","120-122 EAST CRANSTON ROAD","Fowler","CO",81039
"ERIC M LARREW","RED TOP WINE AND LIQUOR","03-09385","Liquor Store (city)","2020-02-11","601 EAST CRANSTON AVENUE","Fowler","CO",81039
"PESTER MARKETING COMPANY","ALTA #6133","04-00876","Fermented Malt Beverage Off (city)","2019-08-29","123 WEST CRANSTON AVENUE","Fowler","CO",81039
"DAURIO CAROLYN A","TAMARACK GRILL","24-73925-0000","Hotel & Restaurant (city)","2019-09-13","3377 HWY 50","Fowler","CO",81039
"QDOBA RESTAURANT CORPORATION","QDOBA MEXICAN EATS","28-14915-0045","Hotel & Restaurant (city)","2019-08-08","16270 E ARAPAHOE RD STE 204","Foxfield","CO",80016
"LA CAVA, INC.","LIBATIONS WINE & SPIRITS","03-02281","Liquor Store (city)","2019-05-01","16350 E ARAPAHOE RD UNIT 102","Foxfield","CO",80016
"ASHOK NEUPANE, BHUPA RAJ BHATTARAI","INDIA'S KITCHEN III","03-08539","Hotel & Restaurant (city)","2019-08-30","16270 EAST ARAPHOE ROAD","Foxfield","CO",80016
"ABUELA'S BY ADRIANA INC","ADRIANA'S RESTAURANT","03-00075","Hotel & Restaurant (county)","2019-09-12","7272 E HWY 86","Franktown","CO",80116
"G & S SERVICES COMPANY","FRANKTOWN MARKET","04-00736","Fermented Malt Beverage Off (county)","2020-04-05","1958 N. HIGHWAY 83","Franktown","CO",80116
"LEEVERS SUPERMARKETS INC","LEEVERS SUPERMARKETS INC","03-09252","Master File (Business)",NULL,"2195 NORTH HIGHWAY 83 UNIT AA","Franktown","CO",80116
"M F M LLC","STAGECOACH THE","42-19362-0000","Hotel & Restaurant (county)","2020-02-27","2077 NORTH STATE HIGHWAY 83","Franktown","CO",80116
"THE ZIONS FAMILY, INC","FRANKTOWN LIQUORS","03-03642","Liquor Store (county)","2019-11-12","7524 E STATE HIGHWAY 86","Franktown","CO",80116
"MATTHEW ENTERPRISES INC","CHARDCORE GRILL","03-09418","Hotel & Restaurant (county)","2020-03-06","7517 EAST HWY 86  UNIT A","Franktown","CO",80116
"COLORADO ADVENTURE PARK LLC","COLORADO ADVENTURE PARK","25-49590-0000","Beer & Wine (county)","2020-01-27","566 CR 721","Fraser","CO",80442
"FRASER VALLEY DISTILLING COMPANY, LLC","FRASER VALLEY DISTILLING","03-10054","Manufacturer (distillery & rectifier)","2019-09-10","410 NORTH ZEREX STREET","Fraser","CO",80442
"FRASER VALLEY DISTILLING, LLC","FRASER VALLEY DISTILLING","03-10055","Wholesale (vinous & spirituous)","2019-09-10","410 NORTH ZEREX STREET","Fraser","CO",80442
"TRU TONE LLC","CROOKED CREEK SALOON","25-47552-0000","Hotel & Restaurant (city)","2019-12-09","401 ZEREX STREET","Fraser","CO",80442
"JULIO'S MEXICAN GRILL LLC","JULIO'S MEXICAN GRILL","03-05659","Hotel & Restaurant (city)","2019-12-28","535 ZEREX STREET UNIT B102, B101","Fraser","CO",80442
"FRASER TAP ROOM LLC","FRASER TAP ROOM","03-10688","Beer & Wine (city)","2019-11-05","511 ZEREX STREET, UNIT 103","Fraser","CO",80442
"CAMBER BREWING COMPANY LLC","CAMBER BREWING COMPANY","03-10793","Manufacturer (brewery)","2020-02-14","365 ZEREX STREET","Fraser","CO",80442
"LOST BOYS RESTAURANT GROUP INC.","ONE LOVE","03-06327","Hotel & Restaurant (city)","2019-05-05","406 ZEREX","Fraser","CO",80442
"FRASER PIZZA CORPORATION","ELEVATION PIZZA","42-96630-0000","Hotel & Restaurant (city)","2019-09-11","551 ZEREX ST STE C-106","Fraser","CO",80442
"ICEBOX LLC THE","ICEBOX THE","28-69632-0000","Liquor Store (city)","2019-12-02","46 MARKET ST","Fraser","CO",80442
"U 9200 ENTERTAINMENT INC","THE FOUNDRY CINEMA & BOWL","42-94508-0000","Tavern (city)","2019-07-06","22 SECOND STREET","Fraser","CO",80442
"KURTAK ELIZABETH ANN","ELIZABETH KURTAK ART GALLERY","03-04152","Art Gallery Permit","2019-12-22","201 EISENHOWER DRIVE","Fraser","CO",80442
"ROCKY MOUNTAIN MOONSHINE INC.","ROCKY MOUNTAIN MOONSHINE","03-04513","Liquor Store (city)","2020-04-01","76827 US HIGHWAY 40","Fraser","CO",80442
"AZTECA MEXICAN RESTAURANT LLC","AZTECA MEXICAN RESTAURANT","42-56591-0000","Hotel & Restaurant (city)","2020-02-10","5 GRAND COUNTY RD #72","Fraser","CO",80442
"BOTTLE PASS LIQUORS INC","BOTTLE PASS LIQUORS","04-69977-0000","Liquor Store (city)","2020-02-09","35 COUNTY RD 804","Fraser","CO",80442
"WILD HORSE CATERING CO., INC.","SOLSTICE WINTER BISTRO","03-06860","Hotel & Restaurant (city)","2019-08-29","45 COUNTY ROAD 804, UNIT 130, FRASER MARKETPLACE","Fraser","CO",80442
"SAFEWAY STORE FORTY SIX INC","SAFEWAY STORE #1568","21-70664-0026","Fermented Malt Beverage Off (city)","2019-12-29","40 COUNTY ROAD 804","Fraser","CO",804429999
"ME AND JULIO LLC","SHARKY'S EATERY","26-76692-0000","Hotel & Restaurant (city)","2019-07-05","221 DOC SUSIE AVE","Fraser","CO",80442
"WINTER PARK WINERY LLC","WINTER PARK WINERY LLC","28-36089-0002","Manufacturer (winery)","2019-11-07","395 ZEREX STREET","Fraser","CO",80442
"WINTER PARK WINERY LLC","WINTER PARK WINERY LLC","28-36089-0003","Wine Delivery Permit","2019-05-09","395 ZEREX ST","FRASER","CO",80442
"COL-BARB LLC","BELLA ROSA RESTAURANT","03-09432","Hotel & Restaurant / Optional (city)","2019-03-26","5830 BELLA ROSA PARKWAY","Frederick","CO",80530
"ROCKY J'S LLC","ROCK SOLID","03-05283","Tavern (city)","2019-10-18","513 OAK STREET","Frederick","CO",80530
"PEEL LLC","PEEL PIZZERIA","03-05406","Hotel & Restaurant (city)","2019-11-02","214 5TH STREET","Frederick","CO",80530
"ECHO BREWING COMPANY","ECHO BREWING COMPANY","03-04850","Brew Pub (city)","2019-11-03","5969 IRIS PARKWAY UNITS B & C","Frederick","CO",80530
"GLACIER LIQUORS LLC","GLACIER LIQUORS","42-53790-0000","Liquor Store (city)","2019-12-27","3652 RELIANCE DR","Frederick","CO",80516
"FJNAA INC & 7 ELEVEN INC","7 ELEVEN STORE 35269A","43-01843-0000","Fermented Malt Beverage Off (city)","2019-06-10","6008 FEDERICK WAY","FREDERICK","CO",80530
"SMOKEHOUSE INC THE","GEORGIA BOYS SMOKEHOUSE","03-02383","Hotel & Restaurant (city)","2020-01-23","141 5TH ST","Frederick","CO",80530
"GEMINI BREWING COMPANY LLC","GEMINI BREWING COMPANY LLC","03-04862","Wholesale Beer (malt liquor)","2019-08-19","5969 IRIS PARKWAY UNIT C","Frederick","CO",80530
"PC25 LLC","PINOCCHIOS","03-08890","Hotel & Restaurant (city)","2019-12-19","3768 STATE HIGHWAY 52","Frederick","CO",80516
"MOUNTAIN COWBOY BREWING COMPANY LLC","MOUNTAIN COWBOY BREWING COMPANY","03-08632","Brew Pub (city)","2019-11-05","318 5TH STREET","Frederick","CO",80530
"PETE'S PLACE LLC","PETE'S PLACE","03-07288","Hotel & Restaurant (city)","2019-03-09","201 5TH STREET","Frederick","CO",80530
"10 MILE MUSIC LLC","10 MILE MUSIC HALL","03-10478","Tavern (city)","2019-09-16","710 EAST MAIN STREET","Frisco","CO",80443
"720 BREWING LLC","HIGHSIDE BREWING","03-02673","Wholesale Beer (malt liquor)","2019-03-27","720 EAST MAIN STREET","Frisco","CO",80443
"A LIFT PIZZA LLC","A LIFT PIZZA","03-08313","Hotel & Restaurant (county)","2019-07-19","760 COPPER ROAD, SNOWBRIDGE SQUARE UNITS C102/103","Frisco","CO",80443
"BACCHUS LLC","FRISCO WINE MERCHANT","42-08218-0000","Liquor Store (city)","2019-06-14","310 MAIN STREET  UNIT F","Frisco","CO",80443
"BAMBEE LLC","5TH AVE GRILLE","03-08589","Hotel & Restaurant (city)","2019-08-31","423 MAIN STREET UNIT C-1","Frisco","CO",80443
"BASECAMP WINE & SPIRITS LLC","BASECAMP WINE & SPIRITS","03-03579","Liquor Store (city)","2019-10-29","223 LUSHER COURT UNIT 1","Frisco","CO",80443
"C.A.A.B.A. INC","BUTTERHORN BAKERY & CAFE","14-47371-0000","Hotel & Restaurant (city)","2019-12-28","408 MAIN ST","Frisco","CO",80443
"CUATRO AMIGOS INC","HACIENDA REAL","41-39334-0000","Hotel & Restaurant (city)","2019-09-03","842 N SUMMIT BLVD UNIT 31","Frisco","CO",80443
"EATDRINKLOVE LLC","BAGALIS FRISCO","42-70635-0000","Hotel & Restaurant (city)","2019-05-19","320 E MAIN ST","Frisco","CO",80443
"FRISCO HOSPITALITY LLC","HOTEL FRISCO","03-00506","Tavern (city)","2019-11-27","308 MAIN ST","Frisco","CO",80443
"FRISCO LIQUORS INC","FRISCO LIQUORS INC","05-31075-0000","Liquor Store (city)","2019-06-07","416 MAIN ST #5","Frisco","CO",80443
"FRSSE INC","FOOTES REST SWEET SHOPPE","15-81257-0000","Hotel & Restaurant (city)","2019-06-25","512 E MAIN ST","Frisco","CO",80443
"ISLAND GRILL INC THE","ISLAND GRILL THE","26-57867-0000","Hotel & Restaurant / Optional (city)","2019-05-24","249 MARINA RD","Frisco","CO",80443
